City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,jesup,31.6074,-81.8854,13.88,50,0,0.0,US,1702331943
270,la malbaie,47.6575,-70.1559,0.37,82,100,3.46,CA,1702331721
271,n'zeto,-7.2312,12.8666,26.5,78,100,1.92,AO,1702331944
272,dauphin,51.1494,-100.0502,-2.92,59,100,7.2,CA,1702331944
273,kelso,46.1468,-122.9084,10.83,96,100,3.09,US,1702331944
274,puerto lempira,15.2667,-83.7667,26.41,87,28,4.49,HN,1702331944
275,antigonish,45.6169,-61.9986,15.1,92,100,9.39,CA,1702331944
276,meadow lakes,61.6247,-149.6011,-0.27,90,75,0.0,US,1702331944
277,sitka,57.0531,-135.33,6.94,76,100,5.66,US,1702331724
278,kirakira,-10.4544,161.9205,28.27,74,76,0.98,SB,1702331773
279,pasni,25.2631,63.471,23.65,27,75,4.01,PK,1702331944
280,college,64.8569,-147.8028,-8.03,82,100,0.0,US,1702331747
281,mossel bay,-34.1831,22.146,17.96,80,0,3.99,ZA,1702331945
282,brisas de zicatela,15.8369,-97.0419,30.29,62,40,2.06,MX,1702331945
283,ornskoldsvik,63.2909,18.7153,-5.47,93,100,2.57,SE,1702331945
284,fort bragg,35.139,-79.006,8.75,58,0,2.57,US,1702331945
285,smithers,54.7804,-127.1743,-3.82,86,100,2.06,CA,1702331945
286,fort st. john,56.2499,-120.8529,-3.06,63,75,6.17,CA,1702331945
287,chimbote,-9.0853,-78.5783,21.69,76,13,4.36,PE,1702331945
288,matoury,4.8483,-52.3317,27.98,78,40,2.57,GF,1702331946
289,selfoss,63.9331,-20.9971,-3.75,90,59,2.68,IS,1702331778
290,viedma,-40.8135,-62.9967,27.42,36,94,13.82,AR,1702331766
291,east london,-33.0153,27.9116,19.29,87,56,1.75,ZA,1702331792
292,champerico,14.3,-91.9167,29.45,67,2,3.1,GT,1702331861
293,inca,39.7211,2.9109,14.87,98,83,1.9,ES,1702331946
294,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,4.63,EC,1702331756
295,zyryanskoye,56.8306,86.6258,-34.55,99,23,2.12,RU,1702331946
296,i-n-salah,27.1935,2.4607,16.11,35,0,5.43,DZ,1702331761
297,madimba,-10.4,40.3333,26.48,85,100,3.53,TZ,1702331946
298,moravske toplice,46.6858,16.2217,1.51,93,88,1.15,SI,1702331946
299,tralee,52.2704,-9.7026,7.75,94,100,2.2,IE,1702331946
